time,Steering_input,x,y,vx,vy,ax,ay,yaw,roll,yaw_rate,roll_rate,slip_angle,long_slip,toe_in_r,toe_in_avg,toe_in_l,wlf,wlr,wrf,wrr,tiredef_rf,tiredef_rr,tiredef_lf,tiredef_lr,sp_tor,current_gear,engine_omega,engine_torque,tc_inp_tor,tc_out_tor,tc_out_omg,tc_sr,
+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+0.00000000e+00,+8.61318092e-311,+0.00000000e+00,+0.00000000e+00,+1,+0.00000000e+00,+0.00000000e+00,-0.00000000e+00,+0.00000000e+00,+0.00000000e+00,-0.00000000e+00,
+1.00000000e-02,+0.00000000e+00,-3.72049468e-05,-5.68704752e-08,-5.47357872e-03,+9.22736296e-07,-4.25221356e-01,+8.26796024e-05,+2.04554874e-08,-2.74687305e-07,-1.66884159e-07,-4.75384196e-05,+1.30648703e+00,-9.21328879e-01,-3.27022469e-04,+4.61227178e-06,+3.36247013e-04,+5.55347493e-03,+5.55215961e-03,+5.55135765e-03,+5.55217117e-03,+0.00000000e+00,+0.00000000e+00,+8.61318092e-311,+0.00000000e+00,+2.88789899e+00,+1,-1.39163490e-06,+0.00000000e+00,+8.60732309e-15,+1.72146462e-14,-1.85510317e-02,-4.00970368e+02,
+2.00000000e-02,+0.00000000e+00,-1.23431503e-04,+2.31096019e-07,-7.59437647e-03,-6.99346970e-06,-6.64800170e-02,-1.20750847e-03,+2.70037832e-08,+1.17162115e-06,+1.84201517e-06,+4.28427335e-04,+1.33857216e+00,-7.59878308e-01,-1.05829334e-03,+4.77176276e-06,+1.06783686e-03,+1.70166518e-02,+1.82087675e-02,+1.69810334e-02,+1.81780451e-02,+5.92642752e-03,+5.85278835e-03,+5.92638030e-03,+5.85280054e-03,-5.23929560e+01,+1,+6.01687763e-06,+0.00000000e+00,-0.00000000e+00,+0.00000000e+00,+1.61756563e-01,-3.81922684e+02,
+3.00000000e-02,+0.00000000e+00,-2.25009113e-04,+1.57354449e-06,-7.31015041e-03,-2.03859514e-05,+1.06282572e-01,-1.31060055e-03,+5.65282412e-08,+8.10819277e-06,+3.74982588e-06,+9.17197724e-04,+1.38614700e+00,-3.38010223e-01,-1.71075541e-03,+5.43112286e-06,+1.72161766e-03,+2.77541401e-02,+3.08760209e-02,+2.76224309e-02,+3.07501988e-02,+1.21667322e-02,+1.19808171e-02,+1.21645667e-02,+1.19786507e-02,-3.67094201e+01,+1,+4.09062109e-05,+0.00000000e+00,-0.00000000e+00,+0.00000000e+00,+3.69206204e-01,-4.20281379e+02,
+4.00000000e-02,+0.00000000e+00,-3.23889400e-04,+3.51981999e-06,-5.70957286e-03,-3.21856995e-05,+2.01743925e-01,-8.41024635e-04,+9.94083069e-08,+1.84550348e-05,+4.11843481e-06,+1.08874549e-03,+1.50437813e+00,+1.95172244e+00,-2.10094042e-03,+6.35196609e-06,+2.11364435e-03,+3.38852515e-02,+3.90546743e-02,+3.36801381e-02,+3.88538435e-02,+1.63988592e-02,+1.60655147e-02,+1.63918828e-02,+1.60584698e-02,-6.75338980e+00,+1,+9.13451377e-05,+0.00000000e+00,-0.00000000e+00,+0.00000000e+00,+4.71229952e-01,-4.71366596e+02,
+5.00000000e-02,+0.00000000e+00,-4.10164421e-04,+5.34954063e-06,-3.41258388e-03,-3.73765630e-05,+2.47390567e-01,+2.57082994e-05,+1.39592617e-07,+2.86130423e-05,+2.69924972e-06,+8.84022404e-04,+3.49422778e-02,+4.67513328e+00,-2.21499940e-03,+7.19358785e-06,+2.22938658e-03,+3.41863222e-02,+4.13747690e-02,+3.39752249e-02,+4.11654977e-02,+1.85879101e-02,+1.80886798e-02,+1.85752891e-02,+1.80759406e-02,+2.42481848e+01,+1,+1.38277305e-04,+0.00000000e+00,-0.00000000e+00,+0.00000000e+00,+4.34501200e-01,-5.81454949e+02,
+6.00000000e-02,+0.00000000e+00,-4.78513395e-04,+6.39608395e-06,-8.14641813e-04,-3.30993869e-05,+2.62917969e-01,+9.93275587e-04,+1.61699136e-07,+3.50787072e-05,+1.96767360e-07,+3.69222542e-04,-1.08069644e+00,+2.66107087e+00,-2.13261910e-03,+7.68806644e-06,+2.14799524e-03,+2.92008563e-02,+3.82830059e-02,+2.90507121e-02,+3.81317072e-02,+1.92762817e-02,+1.86047162e-02,+1.92599565e-02,+1.85882634e-02,+4.85311417e+01,+1,+1.64094954e-04,+0.00000000e+00,-0.00000000e+00,+0.00000000e+00,+2.73719670e-01,-1.33258744e+03,
+7.00000000e-02,+0.00000000e+00,-5.26224051e-04,+6.21249551e-06,+1.84648839e-03,-1.95015344e-05,+2.60168854e-01,+1.78256071e-03,+1.56907460e-07,+3.53377729e-05,-2.94215967e-06,-3.34163998e-04,-1.18123726e+00,+2.29381663e+00,-1.95215112e-03,+7.69693359e-06,+1.96754498e-03,+2.03816964e-02,+3.10707312e-02,+2.03407456e-02,+3.10260247e-02,+1.91102814e-02,+1.82684478e-02,+1.90943791e-02,+1.82524494e-02,+6.31178266e+01,+1,+1.57103594e-04,+0.00000000e+00,-1.09695730e-10,-1.09695730e-10,+2.62181415e-02,+5.40485591e+01,
+8.00000000e-02,+0.00000000e+00,-5.52138245e-04,+4.61395749e-06,+4.41883950e-03,+9.84937197e-07,+2.44926262e-01,+2.26733906e-03,+1.19766765e-07,+2.81694176e-05,-6.15574146e-06,-1.09491804e-03,-1.22795894e+00,+2.18532408e+00,-1.74911992e-03,+7.17116896e-06,+1.76346225e-03,+9.45148485e-03,+2.14241904e-02,+9.54844032e-03,+2.15151856e-02,+1.86086615e-02,+1.76038017e-02,+1.85981349e-02,+1.75932474e-02,+6.81204917e+01,+1,+1.12767491e-04,+0.00000000e+00,+5.65178089e-11,+1.13035618e-10,-2.64883362e-01,-2.18424778e+02,
+9.00000000e-02,+0.00000000e+00,-5.56339666e-04,+1.65634507e-06,+6.78334020e-03,+2.52940179e-05,+2.18647553e-01,+2.46590213e-03,+4.97772820e-08,+1.35999961e-05,-8.91482137e-06,-1.79741755e-03,-1.27475613e+00,+2.20384375e+00,-1.56612829e-03,+6.11499425e-06,+1.57835828e-03,-1.94069640e-03,+1.09318462e-02,-1.69536375e-03,+1.11691959e-02,+1.80923488e-02,+1.69352757e-02,+1.80915632e-02,+1.69345597e-02,+6.49555383e+01,+1,+3.31123274e-05,+0.00000000e+00,+4.87300543e-12,+9.74601087e-12,-5.60147892e-01,-3.05021229e+02,
